Number,Long Description (Family),Compatible Standard,Manufacturer,Material,Material Code,Long Description (Size),Short Description,Spec,Size,Line Number Tag,Design Std,Content Iso Symbol Definition,Design Pressure Factor,End Type,Engagement Length,Facing,Flange Std,Gasket Std,Port Unit,Nominal Diameter,X Coordinate (Port 1),Y Coordinate (Port 1),COP Elevation (Port 1),Pressure Class,Schedule,Status,Wall Thickness,Weight,Weight Unit,Required Spec,Insulation Thickness,Insulation Type,Service,Tag,Tie In Number,Shop/Field,DWG Number,PnPID,Item Code,Matching Pipe OD,Flange Thickness,Center of Gravity X,Center of Gravity Y,Center of Gravity Z,Tracing Type,Tracing Spec,Insulation Spec,Spool Number,Unit,Top of Pipe,Bottom of Pipe,Length,Valve Alignment,Valve Detail,Valve Body Type,Flow Dependent,Offset,Operator Type,Actuator Type,Actuator Height,Actuator Width,Control Valve,Valve Code,Normally,Failure,End Connections,Code
,"Gate Valve, Solid Wedge, 300 LB, FPT, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3/4"" ND, 300 LB, FPT, ASME B16.10, 6"" LG, ASTM A216 GR WPB, HAND WHEEL, H=18"", W=9 3/4""",Gate Valve,CS300,"3/4""",1062,Solid Wedge,"SKEY=VTSC,TYPE=VALVE",,THDF,0.55,,,,in,0.75,126,326.7637,10.0625,300,,New,,,,,,,PC,?-?,,SHOP,1-PE-001,1822,,1.05,,,,,,,,,,10.5875,9.5375,6,Inline,Continuous,Gate,False,,Manual,HandWheel,18,9.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 1 1/2"" ND, 150 LB, RF, ASME B16.10, 6 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"1 1/2""",1034,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,1.5,1856.54387,881.765306,180.980944,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,1882,,1.91,,,,,,,,,,181.935944,180.025944,6.5,Inline,Continuous,Gate,False,,Manual,HandWheel,15,8,,,,,,
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1070,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,618.1707,425.977843,137.905503,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,1996,,4.5,,,,,,,,,,140.155503,135.655503,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Check Valve, Swing, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB",ASME B16.10,,CS,ASTM A216 Gr WPB,"CHECK VALVE, SWING, 4"" ND, 300 LB, RF, ASME B16.10, 14"" LG, ASTM A216 GR WPB",Check Valve,CS300,"4""",1071,Swing,"SKEY=VCFL,TYPE=VALVE",,FL,0,RF,ASME B16.5,,in,4,594,325,53.3445,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,2024,,4.5,,,,,,,,,,55.5945,51.0945,14,Inline,Continuous,Check,True,,,,,,,,,,,
,"Butterfly Valve, Offset, 150 LB, WFR, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"BUTTERFLY VALVE W. HAND LEVER, OFFSET, 6"" ND, 150 LB, RF, ASME B16.10, 2 1/4"" LG, ASTM A216 GR WPB ",Butterfly Valve,CS150,"6""",1004,Offset,"SKEY=ZBFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,6,1110.662664,432.778583,41.88937,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,2076,,6.63,,,,,,,,,,45.20437,38.57437,2.25,Inline,Continuous,Butterfly,False,,Manual,HandLever,12,12,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1049,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,54.000006,411.170639,154.044432,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,2209,,4.5,,,,,,,,,,156.294432,151.794432,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Plug Valve, 150 LB, BW, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"PLUG VALVE, 2"" ND, 150 LB, BW, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB, HAND LEVER, H=6 4961/10000"", W=16 1417/10000""",Plug Valve,CS150,"2""",1013,,"SKEY=VPBW,TYPE=VALVE",,BV,0,,,,in,2,1933.722958,1800.432234,171.364676,150,,New,,,,,,,ME,?-?,,SHOP,1-PE-001,2232,,2.375,,,,,,,,,,172.552176,170.177176,8,Inline,Continuous,Plug,False,,Manual,HandWheel,16.25,11.75,,,,,,
,"Butterfly Valve, Offset, 150 LB, WFR, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"BUTTERFLY VALVE W. HAND LEVER, OFFSET, 10"" ND, 150 LB, RF, ASME B16.10, 2 81/100"" LG, ASTM A216 GR WPB ",Butterfly Valve,CS150,"10""",1026,Offset,"SKEY=ZBFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,10,1949.379739,1184.68324,270.751639,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,2743,,10.75,,,,,,,,,,276.126639,265.376639,2.81,Inline,Continuous,Butterfly,False,,Manual,HandLever,11.5,14,,,,,,
,"Gate Valve, Solid Wedge, 150 LB, SW, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 1"" ND, 150 LB, SW, ASME B16.10, 5"" LG, ASTM A216 GR WPB, HAND WHEEL, H=15"", W=8""",Gate Valve,CS150,"1""",1020,Solid Wedge,"SKEY=VTSW,TYPE=VALVE",,SW,0.5,,,,in,1,1899.42972,1550.404129,171.364676,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,2880,,1.315,,,,,,,,,,172.022176,170.707176,5,Inline,Continuous,Gate,False,,Manual,HandWheel,15,8,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, FPT, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3/4"" ND, 300 LB, FPT, ASME B16.10, 6"" LG, ASTM A216 GR WPB, HAND WHEEL, H=18"", W=9 3/4""",Gate Valve,CS300,"3/4""",1068,Solid Wedge,"SKEY=VTSC,TYPE=VALVE",,THDF,0.55,,,,in,0.75,594,303.7755,7.875,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,2960,,1.05,,,,,,,,,,8.4,7.35,6,Inline,Continuous,Gate,False,,Manual,HandWheel,18,9.75,,,,,,
,"Butterfly Valve, Offset, 150 LB, WFR, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"BUTTERFLY VALVE W. HAND LEVER, OFFSET, 10"" ND, 150 LB, RF, ASME B16.10, 2 81/100"" LG, ASTM A216 GR WPB ",Butterfly Valve,CS150,"10""",1033,Offset,"SKEY=ZBFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,10,1949.379739,824.68324,270.751639,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,3063,,10.75,,,,,,,,,,276.126639,265.376639,2.81,Inline,Continuous,Butterfly,False,,Manual,HandLever,11.5,14,,,,,,
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1050,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,197.000006,436.765139,130.135815,300,,New,,,,,,,BFW,?-?,,SHOP,1-PE-001,3289,,4.5,,,,,,,,,,132.385815,127.885815,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1051,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,197.000006,411.170639,154.044432,300,,New,,,,,,,BFW,?-?,,SHOP,1-PE-001,3328,,4.5,,,,,,,,,,156.294432,151.794432,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 6"" ND, 300 LB, RF, ASME B16.10, 15 22/25"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=36"", W=19 1/2""",Gate Valve,CS300,"6""",1069,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,546,288.7755,43.6045,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,3351,,6.625,,,,,,,,,,46.917,40.292,15.88,Inline,Continuous,Gate,False,,Manual,HandWheel,36,19.5,,,,,,
,"Gate Valve, Solid Wedge, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, SOLID WEDGE, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1004,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,1110.662664,412.903583,41.88937,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,3367,,6.625,,,,,,,,,,45.20187,38.57687,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
,"Globe Valve, 150 LB, SW, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GLOBE VALVE W. HAND WHEEL, 1"" ND, 150 LB, SW, ASME B16.10, 5"" LG, ASTM A216 GR WPB ",Globe Valve,CS150,"1""",?,,"SKEY=VGSW,TYPE=VALVE",,SW,0.69,,,,in,1,1865.670497,1250.891934,62.527709,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,3563,,1.315,,,,,,,,,,63.185209,61.870209,5,Inline,Continuous,Globe,False,,Manual,HandWheel,16.25,11.75,,,,,,
,"Gate Valve, Solid Wedge, 150 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB, HAND WHEEL, H=49 3/4"", W=23 1/2""",Gate Valve,CS150,"10""",1016,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,1784.02422,1630.472528,43.527472,150,,New,,,,,,,HS,?-?,,SHOP,1-PE-001,3691,,10.75,,,,,,,,,,48.902472,38.152472,13,Inline,Continuous,Gate,False,,Manual,HandWheel,49.75,23.5,,,,,,
105,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1062,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,126,317.2892,15.8125,300,,New,,,,,,,PC,HA-105,,SHOP,1-PE-001,3742,,4.5,,,,,,,,,,18.0625,13.5625,12,Inline,Continuous,Gate,False,False,Manual,HandWheel,27,15.75,False,,NO,,Unspecified,HA
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1010,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,918.662664,479.653583,69.851211,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,3803,,6.625,,,,,,,,,,73.163711,66.538711,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
106,"Check Valve, Swing, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB",ASME B16.10,,CS,ASTM A216 Gr WPB,"CHECK VALVE, SWING, 4"" ND, 300 LB, RF, ASME B16.10, 14"" LG, ASTM A216 GR WPB",Check Valve,CS300,"4""",1065,Swing,"SKEY=VCFL,TYPE=VALVE",,FL,0,RF,ASME B16.5,,in,4,180,349.5,39.7245,300,,New,,,,,,,,HA-106,,SHOP,1-PE-001,3929,,4.5,,,,,,,,,,41.9745,37.4745,14,Inline,Continuous,Check,True,False,,,,,False,,NO,,Unspecified,HA
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1040,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,188.530275,728.126304,18,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,3969,,4.5,,,,,,,,,,20.25,15.75,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Plug Valve, 150 LB, BW, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"PLUG VALVE, 2"" ND, 150 LB, BW, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB, HAND LEVER, H=6 4961/10000"", W=16 1417/10000""",Plug Valve,CS150,"2""",1019,,"SKEY=VPBW,TYPE=VALVE",,BV,0,,,,in,2,1918.92972,1550.404129,171.364676,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,3980,,2.375,,,,,,,,,,172.552176,170.177176,8,Inline,Continuous,Plug,False,,Manual,HandWheel,16.25,11.75,,,,,,
,"Check Valve, Swing, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB",ASME B16.10,,CS,ASTM A216 Gr WPB,"CHECK VALVE, SWING, 3"" ND, 300 LB, RF, ASME B16.10, 12 1/2"" LG, ASTM A216 GR WPB",Check Valve,CS300,"3""",1042,Swing,"SKEY=VCFL,TYPE=VALVE",,FL,0,RF,ASME B16.5,,in,3,141.590195,671.364756,51.1422,300,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,4033,,3.5,,,,,,,,,,52.8922,49.3922,12.5,Inline,Continuous,Check,True,,,,,,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 1 1/2"" ND, 150 LB, RF, ASME B16.10, 6 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"1 1/2""",1023,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,1.5,1856.54387,1241.765306,180.980944,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,4374,,1.91,,,,,,,,,,181.935944,180.025944,6.5,Inline,Continuous,Gate,False,,Manual,HandWheel,15,8,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1005,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,1110.662664,479.653583,69.851211,150,,New,,,,,,,FO,?-?,,SHOP,1-PE-001,4411,,6.625,,,,,,,,,,73.163711,66.538711,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
,"Gate Valve, Solid Wedge, 150 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB, HAND WHEEL, H=49 3/4"", W=23 1/2""",Gate Valve,CS150,"10""",1011,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,1784.02422,1870.472528,43.527472,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,4792,,10.75,,,,,,,,,,48.902472,38.152472,13,Inline,Continuous,Gate,False,,Manual,HandWheel,49.75,23.5,,,,,,
,"Butterfly Valve, Offset, 150 LB, WFR, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"BUTTERFLY VALVE W. HAND LEVER, OFFSET, 6"" ND, 150 LB, RF, ASME B16.10, 2 1/4"" LG, ASTM A216 GR WPB ",Butterfly Valve,CS150,"6""",1009,Offset,"SKEY=ZBFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,6,918.662664,432.778583,41.88937,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,4799,,6.63,,,,,,,,,,45.20437,38.57437,2.25,Inline,Continuous,Butterfly,False,,Manual,HandLever,12,12,,,,,,
,"Globe Valve, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GLOBE VALVE W. HAND WHEEL, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB ",Globe Valve,CS150,"10""",1032,,"SKEY=VGFL,TYPE=VALVE",,FL,0,RF,,,in,10,1933.975239,764.18324,270.751639,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,4878,,10.75,,,,,,,,,,276.126639,265.376639,13,Inline,Continuous,Globe,False,,Manual,HandWheel,32.75,31.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1048,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,54.000006,397.576139,130.135815,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,5034,,4.5,,,,,,,,,,132.385815,127.885815,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
